metric,value
build,con_d
session_id,20260521_103134
session_duration_s,61.37
tasks_recorded,2
tasks_completed,0
total_actions,13
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,511
frames_right_hand_detected,270
right_hand_loss_rate,0.472
panel_opens,1
