metric,value
build,ut_c_practice
session_id,20260529_135120
session_duration_s,89.815
tasks_recorded,5
tasks_completed,0
total_actions,14
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,1174
frames_right_hand_detected,906
right_hand_loss_rate,0.228
panel_opens,7
