t,task_idx,task_name,event_type,total_slots,action,response_latency_s,target,kind,snapped,from_mode,to_mode,commit_latency_s,subaction,expected,actual,source,correct,pasted,completed,duration_s,misplacements,correct_placements,error_rate
0.029,0,Practice 1 - Copy & Paste,task_start,1,,,,,,,,,,,,,,,,,,,
28.704,0,Practice 1 - Copy & Paste,action,,drag,0.094,A,red,False,,,,,,,,,,,,,,
33.118,0,Practice 1 - Copy & Paste,mode_change,,,,,,,open,C,0.842,,,,,,,,,,,
35.474,0,Practice 1 - Copy & Paste,action,,C,0.0,A,red,,,,,copy,,,,,,,,,,
37.355,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,,red,red,paste,True,,,,,,
37.356,0,Practice 1 - Copy & Paste,action,,C,0.0,,red,True,,,,paste,,,,,A',,,,,
37.356,0,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,,,,True,37.327,0,1,0.0
39.892,1,Practice 2 - Delete & Drag,task_start,1,,,,,,,,,,,,,,,,,,,
44.355,1,Practice 2 - Delete & Drag,action,,C,0.0,,,,,,,empty_clipboard,,,,,,,,,,
47.691,1,Practice 2 - Delete & Drag,mode_change,,,,,,,C,X,0.9,,,,,,,,,,,
50.112,1,Practice 2 - Delete & Drag,action,,X,0.0,a,red,,,,,,,,,,,,,,,
52.762,1,Practice 2 - Delete & Drag,mode_change,,,,,,,X,C,0.815,,,,,,,,,,,
53.597,1,Practice 2 - Delete & Drag,action,,C,0.0,A,blue,,,,,copy,,,,,,,,,,
55.188,1,Practice 2 - Delete & Drag,placement,,,,,,,,,,,blue,blue,paste,True,,,,,,
55.188,1,Practice 2 - Delete & Drag,action,,C,0.0,,blue,True,,,,paste,,,,,A',,,,,
55.188,1,Practice 2 - Delete & Drag,task_end,,,,,,,,,,,,,,,,True,15.296,0,1,0.0
57.722,2,Practice 1 - Copy & Paste,task_start,1,,,,,,,,,,,,,,,,,,,
62.012,2,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,,,,False,4.29,0,0,0.0
