metric,value
session_id,20260518_135148
session_duration_s,42.874
tasks_recorded,2
tasks_completed,1
total_actions,12
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,377
frames_right_hand_detected,293
right_hand_loss_rate,0.223
