metric,value
session_id,20260514_170030
session_duration_s,177.652
tasks_recorded,1
tasks_completed,0
total_actions,65
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,1348
frames_right_hand_detected,1303
right_hand_loss_rate,0.033
