metric,value
session_id,20260518_153457
session_duration_s,59.442
tasks_recorded,3
tasks_completed,2
total_actions,13
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,591
frames_right_hand_detected,487
right_hand_loss_rate,0.176
