metric,value
build,ut_c
session_id,20260528_175137
session_duration_s,255.097
tasks_recorded,6
tasks_completed,0
total_actions,21
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,1893
frames_right_hand_detected,373
right_hand_loss_rate,0.803
panel_opens,1
