metric,value
build,con_b
session_id,20260518_162032
session_duration_s,51.336
tasks_recorded,1
tasks_completed,0
total_actions,6
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,402
frames_right_hand_detected,339
right_hand_loss_rate,0.157
panel_opens,3
