t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,completed,duration_s,misplacements,correct_placements,error_rate
0.047,0,Gate,task_start,14,,,,,,,,,,,,,
11.721,0,Gate,mode_change,,open,C,1.118,,,,,,,,,,
13.891,0,Gate,action,,,,,C,0.0,copy,G,grey,,,,,
21.188,0,Gate,task_end,,,,,,,,,,False,21.141,0,0,0.0
