metric,value
session_id,20260514_165850
session_duration_s,33.53
tasks_recorded,1
tasks_completed,0
total_actions,13
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,239
frames_right_hand_detected,203
right_hand_loss_rate,0.151
