metric,value
build,con_e
session_id,20260521_110400
session_duration_s,112.164
tasks_recorded,1
tasks_completed,0
total_actions,26
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,739
frames_right_hand_detected,641
right_hand_loss_rate,0.133
panel_opens,0
