metric,value
build,con_c
session_id,20260520_115051
session_duration_s,28.378
tasks_recorded,1
tasks_completed,0
total_actions,0
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,196
frames_right_hand_detected,0
right_hand_loss_rate,1.0
panel_opens,0
