metric,value
build,ut_c
session_id,20260529_134518
session_duration_s,113.625
tasks_recorded,7
tasks_completed,0
total_actions,0
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,745
frames_right_hand_detected,267
right_hand_loss_rate,0.642
panel_opens,0
