metric,value
session_id,20260514_150914
session_duration_s,314.771
tasks_recorded,1
tasks_completed,0
total_actions,84
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,2235
frames_right_hand_detected,1628
right_hand_loss_rate,0.272
