metric,value
build,ut_a
session_id,20260529_135956
session_duration_s,90.963
tasks_recorded,5
tasks_completed,0
total_actions,13
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,476
frames_right_hand_detected,324
right_hand_loss_rate,0.319
