metric,value
build,ut_c
session_id,20260528_174332
session_duration_s,267.943
tasks_recorded,11
tasks_completed,0
total_actions,30
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,2104
frames_right_hand_detected,565
right_hand_loss_rate,0.731
panel_opens,2
