t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,completed,duration_s,misplacements,correct_placements,error_rate
0.05,0,Gate,task_start,14,,,,,,,,,,,,,
5.512,0,Gate,mode_change,,open,C,1.083,,,,,,,,,,
14.456,0,Gate,action,,,,,C,0.0,copy,G,grey,,,,,
17.306,0,Gate,action,,,,,C,0.0,copy,G,grey,,,,,
19.13,0,Gate,action,,,,,C,0.0,copy,G,grey,,,,,
21.931,0,Gate,task_end,,,,,,,,,,False,21.881,0,0,0.0
21.932,0,Gate,task_start,14,,,,,,,,,,,,,
24.548,0,Gate,task_end,,,,,,,,,,False,2.616,0,0,0.0
