metric,value
build,con_b
session_id,20260518_163758
session_duration_s,72.046
tasks_recorded,3
tasks_completed,0
total_actions,12
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,552
frames_right_hand_detected,112
right_hand_loss_rate,0.797
panel_opens,1
