metric,value
build,con_d
session_id,20260521_104351
session_duration_s,97.627
tasks_recorded,3
tasks_completed,0
total_actions,16
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,870
frames_right_hand_detected,776
right_hand_loss_rate,0.108
panel_opens,6
