metric,value
build,ut_b_practice
session_id,20260530_160504
session_duration_s,83.325
tasks_recorded,7
tasks_completed,0
total_actions,15
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,1026
frames_right_hand_detected,796
right_hand_loss_rate,0.224
panel_opens,3
