t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,expected,actual,source,correct,pasted,snapped,completed,duration_s,misplacements,correct_placements,error_rate
0.062,0,Practice 1 - Copy & Paste,task_start,1,,,,,,,,,,,,,,,,,,,
6.905,0,Practice 1 - Copy & Paste,mode_change,,open,C,0.833,,,,,,,,,,,,,,,,
8.394,0,Practice 1 - Copy & Paste,action,,,,,C,0.0,copy,D,red,,,,,,,,,,,
10.72,0,Practice 1 - Copy & Paste,placement,,,,,,,,,,red,red,paste,True,,,,,,,
10.72,0,Practice 1 - Copy & Paste,action,,,,,C,0.0,paste,,red,,,,,D',True,,,,,
10.72,0,Practice 1 - Copy & Paste,task_end,,,,,,,,,,,,,,,,True,10.658,0,1,0.0
13.237,1,Practice 2 - Delete & Drag,task_start,1,,,,,,,,,,,,,,,,,,,
22.218,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,B,red,,,,,,,,,,,
23.18,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,B,red,,,,,,,,,,,
26.929,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,F,red,,,,,,,,,,,
28.433,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,E,red,,,,,,,,,,,
29.566,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,B,red,,,,,,,,,,,
31.877,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,B,red,,,,,,,,,,,
33.042,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,E,red,,,,,,,,,,,
34.825,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,H,red,,,,,,,,,,,
35.663,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,H,red,,,,,,,,,,,
37.045,1,Practice 2 - Delete & Drag,action,,,,,C,0.0,copy,I,blue,,,,,,,,,,,
42.872,1,Practice 2 - Delete & Drag,task_end,,,,,,,,,,,,,,,,False,29.635,0,0,0.0
