metric,value
session_id,20260514_165124
session_duration_s,131.075
tasks_recorded,1
tasks_completed,0
total_actions,39
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,932
frames_right_hand_detected,826
right_hand_loss_rate,0.114
