metric,value
build,ut_b
session_id,20260529_133816
session_duration_s,43.296
tasks_recorded,2
tasks_completed,0
total_actions,2
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,260
frames_right_hand_detected,149
right_hand_loss_rate,0.427
panel_opens,1
