metric,value
build,ut_c_practice
session_id,20260529_135841
session_duration_s,35.91
tasks_recorded,5
tasks_completed,0
total_actions,8
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,415
frames_right_hand_detected,264
right_hand_loss_rate,0.364
panel_opens,2
