metric,value
build,ut_b_practice
session_id,20260529_140332
session_duration_s,77.131
tasks_recorded,6
tasks_completed,2
total_actions,25
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,889
frames_right_hand_detected,726
right_hand_loss_rate,0.183
panel_opens,1
