metric,value
build,con_b_practice
session_id,20260518_163704
session_duration_s,15.356
tasks_recorded,1
tasks_completed,0
total_actions,2
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,136
frames_right_hand_detected,2
right_hand_loss_rate,0.985
panel_opens,0
