metric,value
session_id,20260514_162936
session_duration_s,87.515
tasks_recorded,3
tasks_completed,1
total_actions,24
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,696
frames_right_hand_detected,562
right_hand_loss_rate,0.193
