metric,value
build,con_b_practice
session_id,20260518_162205
session_duration_s,19.64
tasks_recorded,2
tasks_completed,1
total_actions,4
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,163
frames_right_hand_detected,131
right_hand_loss_rate,0.196
panel_opens,1
