metric,value
build,con_c
session_id,20260520_115137
session_duration_s,22.928
tasks_recorded,1
tasks_completed,0
total_actions,2
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,178
frames_right_hand_detected,113
right_hand_loss_rate,0.365
panel_opens,0
