metric,value
build,ut_a
session_id,20260528_192049
session_duration_s,26.368
tasks_recorded,7
tasks_completed,0
total_actions,3
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,156
frames_right_hand_detected,50
right_hand_loss_rate,0.679
