metric,value
build,ut_c_practice
session_id,20260530_161256
session_duration_s,78.285
tasks_recorded,4
tasks_completed,1
total_actions,13
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,929
frames_right_hand_detected,547
right_hand_loss_rate,0.411
panel_opens,1
