t,task_idx,task_name,event_type,total_slots,from_mode,to_mode,commit_latency_s,action,response_latency_s,subaction,target,kind,completed,duration_s,misplacements,correct_placements,error_rate
0.047,0,Gate,task_start,14,,,,,,,,,,,,,
11.492,0,Gate,mode_change,,open,C,1.15,,,,,,,,,,
15.624,0,Gate,action,,,,,C,0.0,copy,J,purple,,,,,
32.335,0,Gate,task_end,,,,,,,,,,False,32.288,0,0,0.0
32.335,0,Gate,task_start,14,,,,,,,,,,,,,
32.912,0,Gate,task_end,,,,,,,,,,False,0.577,0,0,0.0
