metric,value
build,ut_c
session_id,20260529_135738
session_duration_s,29.578
tasks_recorded,2
tasks_completed,0
total_actions,6
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,191
frames_right_hand_detected,113
right_hand_loss_rate,0.408
panel_opens,0
