metric,value
build,con_c_practice
session_id,20260520_115444
session_duration_s,6.614
tasks_recorded,2
tasks_completed,0
total_actions,0
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,59
frames_right_hand_detected,0
right_hand_loss_rate,1.0
panel_opens,0
