task_idx,name,start_t,end_t,duration_s,total_slots,misplacements,correct_placements,mode_changes,action_C,action_F,action_X,action_Z,unintentional,completed,error_rate
0,Gate,0.043,457.153,457.11,14,7,7,12,27,9,10,6,0,False,0.5
4,Cleanup,457.153,574.915,117.762,10,1,4,7,11,0,5,2,0,False,0.2
4,Cleanup,574.915,651.852,76.937,10,1,4,4,8,0,3,2,0,True,0.2
5,Sunshine,654.452,694.56,40.108,9,0,9,0,12,0,0,0,0,True,0.0
6,Gate,697.128,709.834,12.706,14,0,0,0,0,0,0,0,0,False,0.0
1,Goalpost,709.835,717.327,7.492,14,0,0,0,0,0,0,0,0,False,0.0
2,Cross,717.327,822.393,105.066,11,0,0,2,3,0,0,0,0,False,0.0
2,Cross,822.393,824.093,1.7,11,0,0,0,0,0,0,0,0,False,0.0
0,Gate,824.094,946.065,121.971,14,0,18,0,0,0,0,0,0,True,0.0
1,Goalpost,948.638,1098.05,149.412,14,0,0,1,0,0,2,0,0,False,0.0
0,Gate,1098.05,1113.498,15.448,14,0,0,0,0,0,0,0,0,False,0.0
4,Cleanup,1113.498,1134.079,20.581,10,0,0,0,0,0,0,0,0,False,0.0
5,Sunshine,1134.079,1224.409,90.33,9,0,0,1,2,0,0,0,0,False,0.0
