metric,value
build,ut_a_practice
session_id,20260529_140213
session_duration_s,38.793
tasks_recorded,3
tasks_completed,0
total_actions,5
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,433
frames_right_hand_detected,285
right_hand_loss_rate,0.342
