metric,value
session_id,20260518_151351
session_duration_s,124.316
tasks_recorded,6
tasks_completed,1
total_actions,21
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,992
frames_right_hand_detected,766
right_hand_loss_rate,0.228
