task_idx,name,start_t,end_t,duration_s,total_slots,misplacements,correct_placements,mode_changes,action_C,action_F,action_X,action_Z,unintentional,completed,error_rate
0,Practice 1 - Copy 2x2,0.014,42.751,42.737,4,0,1,0,2,0,2,1,0,False,0.0
1,Practice 2 - Copy 2 times,42.752,44.911,2.159,4,0,0,0,0,0,1,0,0,False,0.0
2,Practice 3 - Find shades,44.912,47.042,2.13,4,0,0,0,0,0,0,0,0,False,0.0
3,Practice 4 - Delete non-red,47.043,47.754,0.711,4,0,0,0,0,0,0,0,0,False,0.0
2,Practice 3 - Find shades,47.754,59.36,11.606,4,2,0,0,3,0,0,0,0,False,1.0
3,Practice 4 - Delete non-red,59.361,74.194,14.833,4,0,0,0,0,0,2,0,0,False,0.0
4,Practice 5 - Undo restore,74.194,83.321,9.127,9,0,0,0,0,0,1,3,0,False,0.0
