metric,value
build,con_e
session_id,20260521_105127
session_duration_s,67.428
tasks_recorded,2
tasks_completed,0
total_actions,15
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,594
frames_right_hand_detected,511
right_hand_loss_rate,0.14
panel_opens,5
