metric,value
session_id,20260514_163810
session_duration_s,66.444
tasks_recorded,3
tasks_completed,0
total_actions,16
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,554
frames_right_hand_detected,403
right_hand_loss_rate,0.273
