metric,value
build,con_c_practice
session_id,20260520_160422
session_duration_s,146.525
tasks_recorded,2
tasks_completed,2
total_actions,24
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,2266
frames_right_hand_detected,1412
right_hand_loss_rate,0.377
panel_opens,8
