metric,value
build,con_b_practice
session_id,20260520_155102
session_duration_s,242.216
tasks_recorded,4
tasks_completed,3
total_actions,34
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,3743
frames_right_hand_detected,3168
right_hand_loss_rate,0.154
panel_opens,13
