metric,value
build,con_a_practice
session_id,20260520_161247
session_duration_s,117.48
tasks_recorded,2
tasks_completed,2
total_actions,11
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,1859
frames_right_hand_detected,536
right_hand_loss_rate,0.712
