metric,value
build,con_c
session_id,20260520_160720
session_duration_s,279.117
tasks_recorded,7
tasks_completed,4
total_actions,85
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,3345
frames_right_hand_detected,3097
right_hand_loss_rate,0.074
panel_opens,6
