metric,value
build,con_a
session_id,20260520_161515
session_duration_s,233.867
tasks_recorded,7
tasks_completed,4
total_actions,67
unintentional_actions,0
unintentional_rate,0.0
recognition_accuracy_proxy,1.0
frames_total,2892
frames_right_hand_detected,2763
right_hand_loss_rate,0.045
